ID,Latitud,Longitud
P18227,43.002,-2.584
P15695,42.330,-3.837
P14557,41.684,2.648
P2952,38.046,-6.952
P4559,38.643,-4.720
P2100,37.691,-4.612
P636,37.050,-6.313
P19454,43.357,-2.771
P10519,40.568,-0.467
P13142,41.538,-2.192
P6085,39.036,-0.913
P8047,39.765,-1.575
P13534,41.432,1.946
P14012,41.679,0.364
P8932,40.083,-2.078
P16713,42.644,-7.155
P15615,41.978,2.755
P4751,38.611,-1.521
P7003,39.499,-6.518
P16064,42.411,-2.954
P14948,42.149,-6.404
P19817,43.545,-7.102
P8645,39.957,-1.367
P58,36.298,-5.319
P8022,39.816,-3.201
P14852,41.993,-0.953
P12540,41.261,-0.276
P11630,41.039,-2.220
P6879,39.449,-5.612
P16720,42.648,-6.679
P11352,40.923,-1.763
P1378,37.399,-6.503
P16100,42.324,-0.522
P14450,41.991,-4.520
P1281,37.349,-5.498
P12215,41.228,-1.877
P10429,40.699,-6.396
P12206,41.247,-2.475
P8349,39.849,-1.179
P10999,40.900,-6.000
P8043,39.775,-1.835
P9237,40.137,-0.896
P13022,41.365,0.601
P2286,37.630,-0.826
P14310,41.895,-2.373
P2644,37.838,-2.268
P316,36.789,-4.442
P1165,37.300,-5.749
P2619,37.879,-3.848
P15473,42.297,-6.811
P5656,38.849,-0.156
P13590,41.748,-5.397
P7004,39.499,-6.454
P7221,39.452,-1.271
P14136,41.852,-2.644
P16918,42.699,-5.592
P16380,42.550,-5.661
P2495,37.827,-3.723
P17813,42.950,-6.068
P10932,40.742,-0.982
P15466,42.293,-7.284
P17121,42.736,-4.163
P12104,41.069,0.505
P15989,42.433,-8.031
P2147,37.615,-1.648
P8868,40.150,-6.262
P12099,41.087,0.174
P826,37.150,-6.125
P3524,38.215,-3.202
P17975,42.992,-7.434
P9005,40.197,-6.786
P11212,40.863,-1.502
P1287,37.346,-5.121
P5478,38.873,-1.826
P18314,43.064,-8.940
P13335,41.513,-0.321
P4846,38.740,-4.526
P268,36.744,-4.879
P11942,41.077,-0.624
P1907,37.527,-1.969
P19718,43.498,-5.312
P9346,40.259,-2.920
P7183,39.528,-3.731
P15149,42.194,-4.786
P3129,38.079,-3.842
P17534,42.727,-0.556
P3107,38.097,-5.238
P9087,40.109,-1.422
P8226,39.539,3.092
P3126,38.083,-4.032
P11529,40.866,0.551
P14974,42.142,-4.652
P9523,40.222,-0.561
P1291,37.344,-4.870
P8066,39.711,-0.342
P15450,42.277,-8.364
P16984,42.600,-1.110
P1497,37.450,-6.126
P16895,42.694,-7.156
P4382,38.594,-7.151
P3929,38.326,-1.922
P3861,38.400,-6.255
P11036,40.874,-3.553
P15707,42.313,-3.026
P19810,43.540,-7.584
P2873,37.980,-3.909
P7624,39.612,-1.520
P18399,43.066,-3.128
P6087,39.030,-0.785
P16204,42.499,-5.593
P5459,38.911,-3.045
P6157,39.200,-5.677
P12365,41.278,-1.874
P5998,39.149,-6.516
P19285,43.311,-2.911
P19698,43.498,-6.688
P7841,39.799,-5.610
P7627,39.605,-1.326
P10361,40.571,-1.720
P8970,39.793,3.061
P15145,42.196,-5.056
P3735,38.350,-6.000
P12473,41.393,-4.734
P778,37.057,-2.935
P16091,42.351,-1.129
P10013,40.550,-6.197
P10355,40.585,-2.114
P16878,42.678,-8.311
P2845,38.000,-5.683
P84,36.399,-5.566
P12035,41.234,-4.072
P943,37.199,-5.561
P7192,39.514,-3.148
P13596,41.746,-4.995
P3939,38.301,-1.286
P15219,42.052,-0.072
P9782,40.394,-2.388
P4201,38.398,-1.216
P19443,43.376,-3.595
P9208,40.205,-2.791
P15139,42.199,-5.460
P9805,40.337,-0.881
P14094,41.899,-5.463
P2332,37.800,-6.000
P12941,41.544,-4.798
P3428,38.096,-1.173
P7451,39.631,-3.923
P1842,37.600,-6.063
P17788,42.937,-7.774
P14292,41.925,-3.581
P2957,38.048,-6.634
P19424,43.395,-4.900
P3148,38.050,-2.637
P12199,41.260,-2.940
P12178,41.288,-4.337
P192,36.650,-5.751
P1520,37.442,-4.679
P589,36.986,-4.250
P17510,42.789,-2.186
P6028,39.141,-4.582
P162,36.600,-5.751
P13299,41.605,-2.723
P17774,42.919,-8.729
P17406,42.460,3.024
P17264,42.798,-6.613
P1488,37.448,-6.692
P1502,37.450,-5.811
P11208,40.873,-1.767
P19375,43.379,-8.268
P10785,40.711,-1.447
P704,36.980,-2.063
P14708,41.836,1.119
P14826,42.054,-2.701
P16332,42.157,3.050
P312,36.792,-4.692
P2466,37.849,-5.557
P12947,41.539,-4.397
P2592,37.899,-5.557
P19287,43.307,-2.774
P8581,40.049,-5.543
P17632,42.900,-6.136
P9079,40.129,-1.944
P10354,40.587,-2.180
P14147,41.829,-1.906
P6238,39.065,-0.460
P5732,39.044,-4.842
P3249,38.138,-4.348
P320,36.785,-4.193
P781,37.052,-2.747
P12768,41.499,-5.666
P15173,42.166,-3.167
P19803,43.532,-8.066
P15664,42.350,-5.932
P20007,43.635,-7.932
P2135,37.642,-2.404
P11582,41.099,-5.403
P17858,42.913,-2.998
P15722,42.283,-2.013
P9675,40.239,0.096
P15911,42.306,-1.268
P8272,39.950,-6.196
P10906,40.803,-2.697
P3521,38.220,-3.392
P404,36.802,-2.759
P5020,38.751,-2.667
P11091,40.742,0.076
P14232,41.939,-7.613
P292,36.800,-5.938
P13042,41.283,1.928
P12549,41.230,0.321
P6809,39.297,-1.153
P6927,39.397,-2.506
P2144,37.622,-1.837
P6448,39.300,-5.742
P6642,39.300,-2.640
P17704,42.805,-1.231
P4693,38.697,-5.232
P17810,42.950,-6.273
P679,37.024,-3.624
P5180,38.773,-1.832
P6033,39.137,-4.260
P10113,40.375,0.372
P16150,42.122,2.842
P15286,42.241,-7.485
P4255,38.549,-6.447
P125,36.497,-5.131
P15193,42.127,-1.820
P3093,38.100,-6.127
P728,37.100,-6.063
P3022,37.996,-2.513
